02-10-2021 00:24:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:24:37 Se graban todos los datos correctamente
02-10-2021 00:25:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:25:07 Se graban todos los datos correctamente
02-10-2021 00:25:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:25:37 Se graban todos los datos correctamente
02-10-2021 00:26:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:26:07 Se graban todos los datos correctamente
02-10-2021 00:26:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:26:37 Se graban todos los datos correctamente
02-10-2021 00:27:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:27:07 Se graban todos los datos correctamente
02-10-2021 00:27:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:27:37 Se graban todos los datos correctamente
02-10-2021 00:28:07 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:28:07 Se graban todos los datos correctamente
02-10-2021 00:28:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:28:37 Se graban todos los datos correctamente
02-10-2021 00:29:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:29:07 Se graban todos los datos correctamente
02-10-2021 00:29:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:29:37 Se graban todos los datos correctamente
02-10-2021 00:30:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:30:07 Se graban todos los datos correctamente
02-10-2021 00:30:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:30:37 Se graban todos los datos correctamente
02-10-2021 00:31:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:31:07 Se graban todos los datos correctamente
02-10-2021 00:31:37 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:31:37 Se graban todos los datos correctamente
02-10-2021 00:32:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:32:07 Se graban todos los datos correctamente
02-10-2021 00:32:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:32:37 Se graban todos los datos correctamente
02-10-2021 00:33:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:33:07 Se graban todos los datos correctamente
02-10-2021 00:33:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:33:37 Se graban todos los datos correctamente
02-10-2021 00:34:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:34:07 Se graban todos los datos correctamente
02-10-2021 00:34:37 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:34:37 Se graban todos los datos correctamente
02-10-2021 00:35:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:35:07 Se graban todos los datos correctamente
02-10-2021 00:35:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:35:37 Se graban todos los datos correctamente
02-10-2021 00:36:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:36:07 Se graban todos los datos correctamente
02-10-2021 00:36:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:36:37 Se graban todos los datos correctamente
02-10-2021 00:37:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:37:07 Se graban todos los datos correctamente
02-10-2021 00:37:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:37:37 Se graban todos los datos correctamente
02-10-2021 00:38:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:38:07 Se graban todos los datos correctamente
02-10-2021 00:38:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:38:37 Se graban todos los datos correctamente
02-10-2021 00:39:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:39:07 Se graban todos los datos correctamente
02-10-2021 00:39:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:39:37 Se graban todos los datos correctamente
02-10-2021 00:40:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:40:07 Se graban todos los datos correctamente
02-10-2021 00:40:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:40:37 Se graban todos los datos correctamente
02-10-2021 00:41:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:41:07 Se graban todos los datos correctamente
02-10-2021 00:41:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:41:37 Se graban todos los datos correctamente
02-10-2021 00:42:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:42:07 Se graban todos los datos correctamente
02-10-2021 00:42:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:42:37 Se graban todos los datos correctamente
02-10-2021 00:43:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:43:07 Se graban todos los datos correctamente
02-10-2021 00:43:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:43:37 Se graban todos los datos correctamente
02-10-2021 00:44:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:44:07 Se graban todos los datos correctamente
02-10-2021 00:44:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:44:37 Se graban todos los datos correctamente
02-10-2021 00:45:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:45:07 Se graban todos los datos correctamente
02-10-2021 00:45:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:45:37 Se graban todos los datos correctamente
02-10-2021 00:46:07 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:46:07 Se graban todos los datos correctamente
02-10-2021 00:46:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:46:37 Se graban todos los datos correctamente
02-10-2021 00:47:07 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:47:07 Se graban todos los datos correctamente
02-10-2021 00:47:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:47:37 Se graban todos los datos correctamente
02-10-2021 00:48:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:48:07 Se graban todos los datos correctamente
02-10-2021 00:48:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:48:37 Se graban todos los datos correctamente
02-10-2021 00:49:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:49:07 Se graban todos los datos correctamente
02-10-2021 00:49:37 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:49:37 Se graban todos los datos correctamente
02-10-2021 00:50:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:50:07 Se graban todos los datos correctamente
02-10-2021 00:50:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:50:37 Se graban todos los datos correctamente
02-10-2021 00:51:08 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:51:08 Se graban todos los datos correctamente
02-10-2021 00:51:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:51:37 Se graban todos los datos correctamente
02-10-2021 00:52:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:52:07 Se graban todos los datos correctamente
02-10-2021 00:52:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:52:37 Se graban todos los datos correctamente
02-10-2021 00:53:07 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:53:07 Se graban todos los datos correctamente
02-10-2021 00:53:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:53:37 Se graban todos los datos correctamente
02-10-2021 00:54:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:54:07 Se graban todos los datos correctamente
02-10-2021 00:54:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:54:37 Se graban todos los datos correctamente
02-10-2021 00:55:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:55:07 Se graban todos los datos correctamente
02-10-2021 00:55:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:55:37 Se graban todos los datos correctamente
02-10-2021 00:56:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:56:07 Se graban todos los datos correctamente
02-10-2021 00:56:37 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:56:37 Se graban todos los datos correctamente
02-10-2021 00:57:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:57:07 Se graban todos los datos correctamente
02-10-2021 00:57:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:57:37 Se graban todos los datos correctamente
02-10-2021 00:58:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:58:07 Se graban todos los datos correctamente
