fecha;pm25;pm10;co2;humedad;temperatura;t_terabee;presencia; 
09-11-2021 12:58:53;6.0;7.0;760.1181;43.848324;23.990616;09-11-2021 12:58:59;20.0;
09-11-2021 12:58:53;6.0;7.0;760.1181;43.848324;23.990616;09-11-2021 12:58:59;20.0;
09-11-2021 12:59:32;5.0;6.0;760.1181;43.848324;23.990616;09-11-2021 12:59:59;20.0;
09-11-2021 13:00:11;6.0;7.0;760.1181;43.848324;23.990616;09-11-2021 12:59:59;20.0;
09-11-2021 13:00:51;6.0;7.0;760.1181;43.848324;23.990616;09-11-2021 13:00:59;20.0;
09-11-2021 13:01:30;7.0;8.0;789.36774;44.122986;24.054703;09-11-2021 13:01:29;19.0;
09-11-2021 13:01:30;7.0;8.0;789.36774;44.122986;24.054703;09-11-2021 13:01:59;19.0;
09-11-2021 13:02:09;5.0;6.0;789.36774;44.122986;24.054703;09-11-2021 13:01:59;19.0;
09-11-2021 13:02:48;6.0;7.0;789.36774;44.122986;24.054703;09-11-2021 13:02:59;19.0;
09-11-2021 13:03:28;6.0;7.0;789.36774;44.122986;24.054703;09-11-2021 13:02:59;19.0;
09-11-2021 13:03:28;6.0;7.0;789.36774;44.122986;24.054703;09-11-2021 13:03:59;19.0;
09-11-2021 13:04:07;7.0;8.0;789.36774;44.122986;24.054703;09-11-2021 13:03:59;19.0;
09-11-2021 13:04:46;5.0;6.0;789.36774;44.122986;24.054703;09-11-2021 13:04:59;19.0;
09-11-2021 13:05:25;7.0;8.0;789.36774;44.122986;24.054703;09-11-2021 13:04:59;19.0;
09-11-2021 13:05:25;7.0;8.0;789.36774;44.122986;24.054703;09-11-2021 13:05:59;19.0;
09-11-2021 13:06:24;5.0;6.0;819.90875;44.422066;24.10811;09-11-2021 13:05:59;19.0;
09-11-2021 13:06:44;7.0;8.0;819.90875;44.422066;24.10811;09-11-2021 13:06:59;19.0;
09-11-2021 13:07:23;5.0;6.0;819.90875;44.422066;24.10811;09-11-2021 13:06:59;19.0;
09-11-2021 13:07:23;5.0;6.0;819.90875;44.422066;24.10811;09-11-2021 13:07:59;19.0;
09-11-2021 13:08:02;6.0;7.0;819.90875;44.422066;24.10811;09-11-2021 13:07:59;19.0;
09-11-2021 13:08:41;5.0;6.0;819.90875;44.422066;24.10811;09-11-2021 13:08:59;19.0;
09-11-2021 13:09:21;5.0;6.0;819.90875;44.422066;24.10811;09-11-2021 13:08:59;19.0;
09-11-2021 13:10:00;5.0;6.0;819.90875;44.422066;24.10811;09-11-2021 13:09:59;19.0;
09-11-2021 13:10:00;5.0;6.0;819.90875;44.422066;24.10811;09-11-2021 13:09:59;19.0;
09-11-2021 13:10:39;4.0;5.0;819.90875;44.422066;24.10811;09-11-2021 13:10:59;19.0;
